pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,ivb,hb,spin_rate,velocity,extension,release_height,release_side,cluster,movement_predicted_pvs,archetype,cluster_rank,movement_quality_0_100,archetype_pitch_value_rank
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,82,19,8,23,29,7,17,10,0,0,0,646.25152,0.1039384191036598,0.4210526315789473,0.2804878048780488,0.2413793103448276,0.4117647058823529,64.625152,0.0,0.0,0.0,1.6036177896555697,-0.0052181722875392,0.0296024424259337,-0.0008684172510071,0.596683708236477,0.0086638474435936,1.7759368129157784,0.0775604884304707,-4.001090844969937,2.356642507687293,-1.96977024913211,0.4708085756368095,-0.701806877583555,-0.0344945098401093,-3.15139947206592,0.957417219409931,3.8305115392294415,80.0,100.0,1,1,-10.500080243902438,-12.01293524390244,1945.7746609756095,81.40860719512196,5.351570975609756,6.060410609756097,2.076265,1,50.970923901798955,Tight High-Spin Breakers,1,76.21440536013401,1
"Grounds, Jackson",805984.0,DOW_EAS1,Fastball,52,24,6,13,13,4,13,15,2,1,3,968.40388,0.1506084470544614,0.25,0.25,0.3076923076923077,0.3076923076923077,64.56025866666667,0.1333333333333333,0.0666666666666666,0.2,0.1171661188025853,-0.0003812585505836,-0.4541517861651143,0.0133229967989397,1.274459229529025,0.0185051480127614,0.9222275383704148,0.0402764432832511,-4.0181752525033385,2.366705223724466,-0.4944933568164735,0.118192318666203,1.3851480308640147,0.0680814108649972,-1.1569199643660733,0.3514803836141636,2.9761826664141986,80.0,99.83249581239532,2,1,17.036728461538463,14.667824807692307,2132.502032692308,92.28531288461538,5.650058269230769,6.127669807692308,1.9756621153846157,0,47.257933835200845,Riding Power Fastballs,4,3.6850921273031827,1
"Carroll, Jake",1000088275.0,JOL_SLA,Slider,56,23,6,13,17,4,13,11,0,0,2,755.35123,0.2039052418260956,0.2608695652173913,0.2321428571428571,0.2352941176470588,0.3076923076923077,68.66829363636363,0.0,0.0,0.1818181818181818,0.2116229139404003,-0.000688620961962,-0.7374935486255859,0.0216351107424801,0.5344878368708075,0.0077607633913641,0.9222275383704148,0.0402764432832511,-2.9366567053936388,1.7296907994768531,-1.96977024913211,0.4708085756368095,-0.701806877583555,-0.0344945098401093,-1.3382362832478778,0.406565550504688,2.6415541122333748,79.7820095677824,99.66499162479062,3,1,-6.430947142857143,7.729745535714286,2018.8052946428568,75.23587785714287,6.094660535714286,6.239960357142857,-1.8926617857142856,1,52.48018846191302,Tight High-Spin Breakers,1,90.78726968174205,2
"Harper, Scott",1000241275.0,NEW_YOR13,Slider,114,42,18,49,38,10,27,20,0,0,2,1430.82016,0.1332395495428222,0.4285714285714285,0.4298245614035088,0.2631578947368421,0.3703703703703703,71.541008,0.0,0.0,0.1,1.6689563246381185,-0.0054307838803724,2.39914947089296,-0.0703814488781158,0.8192794583872923,0.0118959377357834,1.4363777294814706,0.0627309245796442,-2.1803598657271626,1.2842319609132986,-1.96977024913211,0.4708085756368095,-0.701806877583555,-0.0344945098401093,-2.154159718215997,0.6544488015120473,2.373809457778985,76.76334194944563,99.49748743718592,4,2,3.247716842105263,-16.382237368421052,2649.9348342105263,79.7882595614035,5.702628596491228,4.327527894736843,1.8054618421052635,1,53.68253153820601,Tight High-Spin Breakers,1,97.31993299832496,3
"Escobar, Anthony",678673.0,TRO_AIG,Changeup,82,42,14,17,31,6,20,23,1,0,3,1630.09381,0.1228656937625018,0.3333333333333333,0.2073170731707317,0.1935483870967742,0.3,70.87364391304348,0.0434782608695652,0.0,0.1304347826086956,0.8413348815258344,-0.002737703704485,-1.1314077061925814,0.0331909764688655,0.1078107838461102,0.0015654125814455,0.8591272876431485,0.0375206660332392,-2.3560561884319458,1.387717094986416,-1.4887016972900549,0.3558250135811771,-0.701806877583555,-0.0344945098401093,-1.8506519670442816,0.562241022151822,2.340827972258371,76.39149459156428,99.32998324958125,5,1,9.994268902439025,11.492933414634146,1578.7038975609755,79.53455963414633,6.259494512195122,5.540091585365854,1.9451879268292684,3,50.67718077163167,Soft-Speed Separation,2,66.66666666666666,1
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,93,38,13,30,35,9,23,18,0,0,2,1303.91183,0.1535704804828149,0.3421052631578947,0.3225806451612903,0.2571428571428571,0.391304347826087,72.43954611111111,0.0,0.0,0.1111111111111111,0.9175631723388076,-0.0029857505627904,0.6974953773838959,-0.0204617243909339,0.7578006321551622,0.0110032651788929,1.608099828884176,0.0702305438268586,-1.943802572612575,1.1448997152688063,-1.96977024913211,0.4708085756368095,-0.701806877583555,-0.0344945098401093,-2.043355301121561,0.6207856439678381,2.2597857590853723,75.47779005795854,99.16247906197655,6,3,-2.270414086021505,-8.21379870967742,2493.7772677419352,85.36341602150539,5.845110752688171,4.581446774193548,1.946763978494624,1,50.916205168890144,Tight High-Spin Breakers,1,75.87939698492463,4
"Webster, Evan",804248.0,FLO_Y'A,Cutter,99,43,12,31,22,6,23,24,2,1,3,1713.87365,0.1364701407377817,0.2790697674418604,0.3131313131313131,0.2727272727272727,0.2608695652173913,71.41140208333333,0.0833333333333333,0.0416666666666666,0.125,0.369783129054881,-0.0012032743019445,0.5475615154628122,-0.016063264617617,0.9170866819384084,0.0133160986217456,0.5381390556827083,0.0235021469788309,-2.214481094909519,1.3043293649017067,-1.0477221914348374,0.2504234150301805,0.6025399401961754,0.0296154406005822,-1.904849779753516,0.5787066970375764,2.182626624251061,74.607865008445,98.99497487437183,7,1,5.607825959595959,-0.177060303030303,2063.801609090909,84.25019595959596,6.962036868686869,5.745224444444445,-2.778970101010101,2,50.75424009191727,Riding Shape / Lower Velo,3,61.97654941373534,1
"Vitas, Ben",1000076969.0,JOL_SLA,Splitter,59,23,9,15,27,8,19,10,1,0,0,738.7632,0.1706718036037681,0.391304347826087,0.2542372881355932,0.2962962962962963,0.4210526315789473,73.87631999999999,0.1,0.0,0.0,1.3451044555941818,-0.0043769698985034,-0.3869181476151723,0.0113506307784386,1.1579822510550457,0.0168139022853192,1.8521259701406505,0.0808878974939526,-1.5655444466962607,0.9221056791040976,-0.8633125798953823,0.2063463829088546,-0.701806877583555,-0.0344945098401093,-3.15139947206592,0.957417219409931,2.156050232241981,74.3082314111524,98.82747068676716,8,1,2.187147966101695,7.933433050847457,1047.9650574576272,81.64284762711864,5.03738593220339,5.484180169491525,1.6964181355932204,3,48.45586286075658,Soft-Speed Separation,2,41.038525963149084,2
"McEvoy, Aidan",1000079355.0,FLO_Y'A,Slider,78,37,17,25,37,9,24,20,1,0,2,1452.84594,0.1417599955942733,0.4594594594594595,0.3205128205128205,0.2432432432432432,0.375,72.642297,0.05,0.0,0.1,1.9373740899718328,-0.0063042152887683,0.6646849168839238,-0.0194991967217067,0.6157346958619967,0.0089404677839161,1.4743547322339925,0.0643894942208551,-1.890424534598336,1.1134600508784196,-1.4165414145137465,0.3385774792728321,-0.701806877583555,-0.0344945098401093,-2.154159718215997,0.6544488015120473,2.1195183718174864,73.89635560983812,98.65996649916248,9,4,6.688589230769231,10.221393974358977,2206.8585205128206,78.78477935897435,6.100923717948718,4.801604743589744,-2.888733076923077,3,51.97024424349969,Soft-Speed Separation,2,76.88442211055276,3
"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,78,21,3,22,23,5,14,16,2,0,3,1118.83708,0.1125919308725315,0.1428571428571428,0.282051282051282,0.217391304347826,0.3571428571428571,69.9273175,0.125,0.0,0.1875,-0.8139080046987356,0.0026484566472896,0.0544103515844477,-0.0015961820740813,0.3515057805341283,0.0051038639333555,1.32787200733141,0.0579921541761846,-2.6051946633660616,1.5344596567226103,-0.5866981625862004,0.1402308347268658,-0.701806877583555,-0.0344945098401093,-1.2815749335973137,0.3893514358513991,2.0936957101435145,73.60521989034697,98.4924623115578,10,5,-4.042234102564103,11.5085708974359,2219.105,76.82941141025641,5.546514358974359,4.826601153846154,-2.125199871794872,1,51.97617575276491,Tight High-Spin Breakers,1,85.59463986599664,5
"Correa, Nelvin",673388.0,QUE_CAP,Cutter,68,37,12,25,11,4,17,19,1,0,4,1337.13515,0.1366108760462505,0.3243243243243243,0.3676470588235294,0.3636363636363636,0.2352941176470588,70.37553421052633,0.0526315789473684,0.0,0.2105263157894736,0.7630463666368342,-0.0024829528770362,1.4125704135744577,-0.0414391656526202,1.8462553056740096,0.0268076270383866,0.3283428256432046,0.0143397162243156,-2.4871930667062165,1.4649567162899615,-1.3874241074285696,0.3316179478852544,-0.701806877583555,-0.0344945098401093,-1.051947358697661,0.3195889712038604,2.0788943502720127,73.43834303582116,98.3249581239531,11,2,12.427698970588237,-0.6684785294117647,2249.862566176471,87.02567426470588,5.977862647058823,6.193657205882353,1.5638489705882352,2,50.066299706313316,Riding Shape / Lower Velo,3,54.10385259631491,2
"Foster, Kobe",816330.0,WAS_WIL3,Slider,94,42,14,38,29,8,24,26,2,0,7,1807.34016,0.1333514232814029,0.3333333333333333,0.4042553191489361,0.2758620689655172,0.3333333333333333,69.51308307692308,0.0769230769230769,0.0,0.2692307692307692,0.8413348815258344,-0.002737703704485,1.993438757642356,-0.0584795193941961,0.949126979308601,0.0137813237395608,1.1325617074613012,0.0494623674499574,-2.7142497748034464,1.5986931173592298,-1.1186489651038585,0.2673761196922289,-0.701806877583555,-0.0344945098401093,-0.4665232117007418,0.1417330173771673,1.9753342126793536,72.27076180235638,98.1574539363484,12,6,4.96909329787234,6.152519361702128,2331.9804765957447,78.1275105319149,5.383929361702128,5.984926914893617,-1.4938955319148934,1,52.317230535571525,Tight High-Spin Breakers,1,88.94472361809045,6
"Jones, Logan",814785.0,TRI_VAL,Slider,65,26,6,15,17,3,12,17,2,1,6,1158.87517,0.1894198340289832,0.2307692307692307,0.2307692307692307,0.1764705882352941,0.25,68.16912764705883,0.1176470588235294,0.0588235294117647,0.3529411764705882,-0.0499497495181651,0.0001625364849321,-0.7592890688148533,0.0222745041227525,-0.0667389196639933,-0.0009690491135211,0.4489756579159193,0.0196081139081619,-3.068071671308432,1.807094214400666,-0.6680553441477247,0.1596765841921567,1.1396239239878316,0.0560136554879259,0.3682702474043975,-0.1118830790531878,1.9519774804298864,72.0074280246744,97.98994974874373,13,7,2.4548069230769234,2.3349756923076925,2341.4368646153844,83.46183384615384,5.692705692307692,5.695370615384616,3.0107698461538464,1,50.78857365804403,Tight High-Spin Breakers,1,74.5393634840871,7
"Perez, Kelvin",692487.0,WAS_WIL3,Slider,56,26,9,19,30,5,13,13,2,1,2,932.89007,0.1266150092422444,0.3461538461538461,0.3392857142857143,0.1666666666666666,0.3846153846153846,71.7607746153846,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.9527454604063338,-0.0031002337281622,0.96255702613724,-0.028237572918762,-0.1669433790864606,-0.0024240178643354,1.5532300456430748,0.06783421578337,-2.1225021132184243,1.250153744685652,-0.2675276810756065,0.0639436637476482,1.706218016779027,0.0838623217427059,-1.6171844661429615,0.4913119611054947,1.9233440825536112,71.68460286445523,97.82244556113902,14,8,3.70062875,-5.719386964285714,2238.576869642857,81.2868794642857,5.807370535714285,5.9454,1.1277766071428572,1,51.876729423271186,Tight High-Spin Breakers,1,84.58961474036852,8
"Webster, Evan",804248.0,FLO_Y'A,Slider,52,22,3,12,14,2,6,11,0,0,2,809.1489300000001,0.1496018445957806,0.1363636363636363,0.2307692307692307,0.1428571428571428,0.3333333333333333,73.55899363636364,0.0,0.0,0.1818181818181818,-0.8703367394563915,0.002832075750191,-0.7592890688148533,0.0222745041227525,-0.4102970662553087,-0.005957513402027,1.1325617074613012,0.0494623674499574,-1.6490866634230357,0.971312044756168,-1.96977024913211,0.4708085756368095,-0.701806877583555,-0.0344945098401093,-1.3382362832478778,0.406565550504688,1.8828030949784305,71.22752645089255,97.65494137353434,15,9,1.2215109615384614,2.291159615384615,1930.9510634615383,79.28097192307692,6.827906923076923,5.815211538461539,-2.57161,3,51.827462387088325,Soft-Speed Separation,2,75.37688442211056,4
