pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct
"Aldeano, Austin",699054,TRO_AIG,Sinker,70,36,8,16,15,3,16,24,4,0,8,1853.6944,0.21962922680605287,0.2222222222222222,0.22857142857142856,0.2,0.1875,77.23726666666667,0.16666666666666666,0.0,0.3333333333333333
"Aldeano, Austin",699054,TRO_AIG,Slider,37,16,7,12,12,0,8,8,3,1,5,644.72573,0.2566426428575085,0.4375,0.32432432432432434,0.0,0.0,80.59071625,0.375,0.125,0.625
"Alfonseca, Pedro",670184,FLO_Y'A,Curveball,3,0,0,0,1,0,1,0,0,0,0,0.0,,,0.0,0.0,0.0,,,,
"Alfonseca, Pedro",670184,FLO_Y'A,Four-Seam,11,2,0,2,0,0,2,1,0,0,0,80.31255,0.15677623777078042,0.0,0.18181818181818182,,0.0,80.31255,0.0,0.0,0.0
"Alfonseca, Pedro",670184,FLO_Y'A,Sinker,3,0,0,0,0,0,1,0,0,0,0,0.0,,,0.0,,0.0,,,,
"Alfonseca, Pedro",670184,FLO_Y'A,Slider,8,1,0,1,2,0,2,1,0,0,1,81.39934,0.44371060066862356,0.0,0.125,0.0,0.0,81.39934,0.0,0.0,1.0
"Allemann, Braeden",1000367619,QUE_CAP,Changeup,22,7,3,4,6,2,6,4,0,0,1,316.98821999999996,0.23188910379822322,0.42857142857142855,0.18181818181818182,0.3333333333333333,0.3333333333333333,79.24705499999999,0.0,0.0,0.25
"Allemann, Braeden",1000367619,QUE_CAP,Curveball,215,82,25,67,84,18,54,49,4,0,16,3867.76383,0.24165227938373415,0.3048780487804878,0.3116279069767442,0.21428571428571427,0.3333333333333333,78.93395571428572,0.08163265306122448,0.0,0.32653061224489793
"Allemann, Braeden",1000367619,QUE_CAP,Cutter,2,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,,,,,,
"Allemann, Braeden",1000367619,QUE_CAP,Four-Seam,483,214,54,160,128,26,117,146,25,3,53,12030.38548,0.2651409750440305,0.2523364485981308,0.33126293995859213,0.203125,0.2222222222222222,82.39990054794521,0.17123287671232876,0.02054794520547945,0.363013698630137
"Allemann, Braeden",1000367619,QUE_CAP,Sinker,55,29,8,14,20,4,20,21,3,1,7,1692.32692,0.2431050552543303,0.27586206896551724,0.2545454545454545,0.2,0.2,80.58699619047619,0.14285714285714285,0.047619047619047616,0.3333333333333333
"Allemann, Braeden",1000367619,QUE_CAP,Slider,43,10,2,9,9,2,6,7,2,0,2,580.70089,0.28396079068698205,0.2,0.20930232558139536,0.2222222222222222,0.3333333333333333,82.95727,0.2857142857142857,0.0,0.2857142857142857
"Allemann, Braeden",1000367619,QUE_CAP,,6,4,1,1,0,0,1,0,0,0,0,0.0,,0.25,0.16666666666666666,,0.0,,,,
"Almanzar, Elian",687038,DOW_EAS1,Curveball,34,15,8,11,19,5,12,6,0,0,1,442.28717,0.14468322862881,0.5333333333333333,0.3235294117647059,0.2631578947368421,0.4166666666666667,73.71452833333333,0.0,0.0,0.16666666666666666
"Almanzar, Elian",687038,DOW_EAS1,Cutter,1,1,0,0,0,0,1,1,0,0,0,63.83445,0.09000237762350738,0.0,0.0,,0.0,63.83445,0.0,0.0,0.0
"Almanzar, Elian",687038,DOW_EAS1,Four-Seam,147,39,12,39,20,5,30,23,4,0,7,1786.15009,0.198187092198763,0.3076923076923077,0.2653061224489796,0.25,0.16666666666666666,77.65869956521739,0.17391304347826086,0.0,0.30434782608695654
"Almanzar, Elian",687038,DOW_EAS1,Slider,30,13,5,12,10,3,8,6,1,0,0,485.40174,0.19465861985067612,0.38461538461538464,0.4,0.3,0.375,80.90029,0.16666666666666666,0.0,0.0
"Almanzar, Elian",687038,DOW_EAS1,,1,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,,,,,,
"Almonte, Dawil",805044,EVA_OTT,Changeup,2,0,0,0,1,0,1,0,0,0,0,0.0,,,0.0,0.0,0.0,,,,
"Almonte, Dawil",805044,EVA_OTT,Curveball,12,4,1,3,7,1,3,2,1,0,0,178.21350999999999,0.22416031383227403,0.25,0.25,0.14285714285714285,0.3333333333333333,89.10675499999999,0.5,0.0,0.0
"Almonte, Dawil",805044,EVA_OTT,Four-Seam,142,64,15,40,41,5,30,40,10,3,17,3328.69174,0.29848246209372836,0.234375,0.28169014084507044,0.12195121951219512,0.16666666666666666,83.21729350000001,0.25,0.075,0.425
"Almonte, Dawil",805044,EVA_OTT,Slider,49,17,8,11,20,5,12,8,0,0,0,538.43909,0.06929569776178776,0.47058823529411764,0.22448979591836735,0.25,0.4166666666666667,67.30488625,0.0,0.0,0.0
"Almonte, Lisandro",1000570068,NEW_JER6,Changeup,2,0,0,0,2,0,0,0,0,0,0,0.0,,,0.0,0.0,,,,,
"Almonte, Lisandro",1000570068,NEW_JER6,Four-Seam,145,54,10,38,29,4,32,39,2,0,14,3066.75725,0.21819826769937345,0.18518518518518517,0.2620689655172414,0.13793103448275862,0.125,78.63480128205128,0.05128205128205128,0.0,0.358974358974359
"Almonte, Lisandro",1000570068,NEW_JER6,Sinker,28,12,1,1,3,0,9,8,2,0,5,683.86973,0.3618556817963268,0.08333333333333333,0.03571428571428571,0.0,0.0,85.48371625,0.25,0.0,0.625
"Almonte, Lisandro",1000570068,NEW_JER6,Slider,37,12,2,10,18,5,10,8,2,0,3,640.00018,0.23059795850772474,0.16666666666666666,0.2702702702702703,0.2777777777777778,0.5,80.0000225,0.25,0.0,0.375
"Almonte, Lisandro",1000570068,NEW_JER6,,1,0,0,0,1,0,0,0,0,0,0,0.0,,,0.0,0.0,,,,,
"Alpern, Liam",1000137537,FLO_Y'A,Changeup,41,13,2,8,17,3,8,8,1,0,5,569.82408,0.1896667958618814,0.15384615384615385,0.1951219512195122,0.17647058823529413,0.375,71.22801,0.125,0.0,0.625
"Alpern, Liam",1000137537,FLO_Y'A,Curveball,1,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,,,,,,
"Alpern, Liam",1000137537,FLO_Y'A,Four-Seam,264,91,18,66,57,10,67,68,8,0,21,5342.32082,0.21853808011588333,0.1978021978021978,0.25,0.17543859649122806,0.14925373134328357,78.56354147058823,0.11764705882352941,0.0,0.3088235294117647
"Alpern, Liam",1000137537,FLO_Y'A,Slider,78,21,3,22,23,5,14,16,2,0,3,1118.83708,0.1146171954968109,0.14285714285714285,0.28205128205128205,0.21739130434782608,0.35714285714285715,69.9273175,0.125,0.0,0.1875
"Alpern, Liam",1000137537,FLO_Y'A,Sweeper,1,1,1,1,0,0,0,0,0,0,0,0.0,,1.0,1.0,,,,,,
"Anderson, Colt",1000456740,OTT_TIT,Changeup,42,18,6,10,10,2,10,10,1,0,1,786.52258,0.21637359064101208,0.3333333333333333,0.23809523809523808,0.2,0.2,78.65225799999999,0.1,0.0,0.1
"Anderson, Colt",1000456740,OTT_TIT,Curveball,28,12,2,4,6,0,8,10,3,2,3,848.40827,0.25701469353239903,0.16666666666666666,0.14285714285714285,0.0,0.0,84.840827,0.3,0.2,0.3
"Anderson, Colt",1000456740,OTT_TIT,Cutter,3,1,0,0,0,0,0,1,0,0,0,91.37386,0.33007848791612227,0.0,0.0,,,91.37386,0.0,0.0,0.0
"Anderson, Colt",1000456740,OTT_TIT,Four-Seam,46,19,4,12,7,2,13,14,1,0,5,1167.74989,0.28788532185717425,0.21052631578947367,0.2608695652173913,0.2857142857142857,0.15384615384615385,83.41070642857143,0.07142857142857142,0.0,0.35714285714285715
"Anderson, Colt",1000456740,OTT_TIT,Sinker,24,13,4,11,6,2,3,8,0,0,3,591.22435,0.17658982302893755,0.3076923076923077,0.4583333333333333,0.3333333333333333,0.6666666666666666,73.90304375,0.0,0.0,0.375
"Anderson, Colt",1000456740,OTT_TIT,Slider,4,2,0,0,3,0,2,1,0,0,0,81.94173,0.2607023702271265,0.0,0.0,0.0,0.0,81.94173,0.0,0.0,0.0
"Anderson, Colt",1000568252,WAS_WIL3,Changeup,44,19,5,8,8,0,7,11,5,1,4,933.11211,0.2850729693399687,0.2631578947368421,0.18181818181818182,0.0,0.0,84.82837363636364,0.45454545454545453,0.09090909090909091,0.36363636363636365
"Anderson, Colt",1000568252,WAS_WIL3,Curveball,53,14,1,11,19,2,10,7,0,0,4,576.21052,0.2895318752835935,0.07142857142857142,0.20754716981132076,0.10526315789473684,0.2,82.31578857142857,0.0,0.0,0.5714285714285714
"Anderson, Colt",1000568252,WAS_WIL3,Four-Seam,227,109,16,50,56,10,66,83,10,2,30,6126.93354,0.21942475103028586,0.14678899082568808,0.22026431718061673,0.17857142857142858,0.15151515151515152,73.81847638554217,0.12048192771084337,0.024096385542168676,0.3614457831325301
"Anderson, Colt",1000568252,WAS_WIL3,Sinker,16,8,1,3,4,1,5,7,0,0,4,607.91308,0.3539836928991583,0.125,0.1875,0.25,0.2,86.84472571428572,0.0,0.0,0.5714285714285714
"Anderson, Colt",1000568252,WAS_WIL3,Slider,8,3,1,2,1,0,1,2,0,0,1,122.33909,0.13948125449655166,0.3333333333333333,0.25,0.0,0.0,61.169545,0.0,0.0,0.5
"Anderson, Nathan",1000570089,EVA_OTT,Changeup,16,8,2,4,9,2,5,4,0,0,0,269.41914,0.08767748056264846,0.25,0.25,0.2222222222222222,0.4,67.354785,0.0,0.0,0.0
"Anderson, Nathan",1000570089,EVA_OTT,Curveball,9,3,2,5,1,0,0,0,0,0,0,0.0,,0.6666666666666666,0.5555555555555556,0.0,,,,,
"Anderson, Nathan",1000570089,EVA_OTT,Cutter,2,1,1,2,1,1,1,0,0,0,0,0.0,,1.0,1.0,1.0,1.0,,,,
"Anderson, Nathan",1000570089,EVA_OTT,Four-Seam,52,23,1,10,11,2,19,18,3,0,8,1468.43849,0.2919274890668715,0.043478260869565216,0.19230769230769232,0.18181818181818182,0.10526315789473684,81.57991611111112,0.16666666666666666,0.0,0.4444444444444444
"Anderson, Nathan",1000570089,EVA_OTT,Slider,19,10,3,8,4,1,5,7,3,0,3,582.54523,0.3762640143113702,0.3,0.42105263157894735,0.25,0.2,83.22074714285714,0.42857142857142855,0.0,0.42857142857142855
"Andueza, Axel",672847,DOW_EAS1,Changeup,80,34,13,18,28,6,25,19,2,0,6,1500.34688,0.23759803136271193,0.38235294117647056,0.225,0.21428571428571427,0.24,78.9656252631579,0.10526315789473684,0.0,0.3157894736842105
"Andueza, Axel",672847,DOW_EAS1,Curveball,134,49,12,40,27,3,29,31,5,1,14,2465.09491,0.25170310294883136,0.24489795918367346,0.29850746268656714,0.1111111111111111,0.10344827586206896,79.51919064516129,0.16129032258064516,0.03225806451612903,0.45161290322580644
"Andueza, Axel",672847,DOW_EAS1,Four-Seam,389,195,32,88,121,16,89,132,21,1,38,10681.19091,0.2419359879864435,0.1641025641025641,0.2262210796915167,0.1322314049586777,0.1797752808988764,80.91811295454545,0.1590909090909091,0.007575757575757576,0.2878787878787879
"Andueza, Axel",672847,DOW_EAS1,Sinker,69,29,7,21,15,3,17,19,5,0,3,1638.51694,0.2934951257390299,0.2413793103448276,0.30434782608695654,0.2,0.17647058823529413,86.23773368421053,0.2631578947368421,0.0,0.15789473684210525
"Andueza, Axel",672847,DOW_EAS1,Slider,97,44,13,34,27,7,33,28,6,0,10,2317.82907,0.28456293113494696,0.29545454545454547,0.35051546391752575,0.25925925925925924,0.21212121212121213,82.77960964285714,0.21428571428571427,0.0,0.35714285714285715
"Andueza, Axel",672847,DOW_EAS1,Splitter,55,20,14,17,22,7,13,6,1,1,2,492.96505,0.2589385213695418,0.7,0.3090909090909091,0.3181818181818182,0.5384615384615384,82.16084166666667,0.16666666666666666,0.16666666666666666,0.3333333333333333
"Andueza, Axel",672847,DOW_EAS1,,5,4,1,1,0,0,1,0,0,0,0,0.0,,0.25,0.2,,0.0,,,,
"Anglin, Mack",683084,WAS_WIL3,Cutter,1,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,,,,,,
"Anglin, Mack",683084,WAS_WIL3,Four-Seam,10,6,1,2,3,1,3,3,1,0,2,262.11589000000004,0.42925082327499586,0.16666666666666666,0.2,0.3333333333333333,0.3333333333333333,87.37196333333334,0.3333333333333333,0.0,0.6666666666666666
"Anglin, Mack",683084,WAS_WIL3,Slider,8,4,2,4,1,0,1,1,0,0,0,71.33264,0.08586863465331956,0.5,0.5,0.0,0.0,71.33264,0.0,0.0,0.0
"Anglin, Mack",683084,WAS_WIL3,Sweeper,13,5,5,8,8,4,4,0,0,0,0,0.0,,1.0,0.6153846153846154,0.5,1.0,,,,
"Anibal, Trevor",822669,NEW_ENG23,Changeup,21,14,8,9,6,4,6,5,0,0,1,364.61355000000003,0.16617984606481742,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.6666666666666666,72.92271000000001,0.0,0.0,0.2
"Anibal, Trevor",822669,NEW_ENG23,Curveball,99,38,16,27,56,16,32,18,3,0,7,1337.97928,0.235562653542777,0.42105263157894735,0.2727272727272727,0.2857142857142857,0.5,74.33218222222223,0.16666666666666666,0.0,0.3888888888888889
"Anibal, Trevor",822669,NEW_ENG23,Cutter,21,10,4,5,1,0,3,3,0,0,2,242.60053,0.3477957428243657,0.4,0.23809523809523808,0.0,0.0,80.86684333333334,0.0,0.0,0.6666666666666666
"Anibal, Trevor",822669,NEW_ENG23,Four-Seam,199,112,27,68,40,8,51,79,14,3,28,6431.50596,0.274409752244643,0.24107142857142858,0.3417085427135678,0.2,0.1568627450980392,81.41146784810127,0.17721518987341772,0.0379746835443038,0.35443037974683544
"Anibal, Trevor",822669,NEW_ENG23,Sinker,9,4,2,3,0,0,2,3,1,1,2,218.48657,0.19840976594604762,0.5,0.3333333333333333,,0.0,72.82885666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666
"Anibal, Trevor",822669,NEW_ENG23,Slider,4,1,1,1,0,0,0,0,0,0,0,0.0,,1.0,0.25,,,,,,
"Anibal, Trevor",822669,NEW_ENG23,,5,1,0,0,0,0,2,0,0,0,0,0.0,,0.0,0.0,,0.0,,,,
"Armbruester, Will",687006,WIN_CIT29,,1,1,0,0,0,0,1,0,0,0,0,0.0,,0.0,0.0,,0.0,,,,
"Armstrong, Adrein",10286042,NEW_YOR13,Curveball,3,2,1,1,1,0,1,1,0,0,1,70.91713,0.04750087335679487,0.5,0.3333333333333333,0.0,0.0,70.91713,0.0,0.0,1.0
"Armstrong, Adrein",10286042,NEW_YOR13,Four-Seam,9,3,0,1,4,0,1,1,0,0,1,75.08869,0.10018864082428935,0.0,0.1111111111111111,0.0,0.0,75.08869,0.0,0.0,1.0
"Armstrong, Adrein",10286042,NEW_YOR13,Sinker,1,0,0,1,0,0,0,0,0,0,0,0.0,,,1.0,,,,,,
"Armstrong, Adrein",10286042,NEW_YOR13,Slider,7,4,4,4,4,2,2,0,0,0,0,0.0,,1.0,0.5714285714285714,0.5,1.0,,,,
"Armstrong, Andrew",803262,NEW_YOR13,Changeup,14,7,1,2,5,0,4,4,2,1,1,308.96213,0.34456737865038034,0.14285714285714285,0.14285714285714285,0.0,0.0,77.2405325,0.5,0.25,0.25
"Armstrong, Andrew",803262,NEW_YOR13,Curveball,13,3,1,3,2,1,3,3,0,0,0,235.97073,0.1670737025081733,0.3333333333333333,0.23076923076923078,0.5,0.3333333333333333,78.65691,0.0,0.0,0.0
"Armstrong, Andrew",803262,NEW_YOR13,Cutter,6,3,0,1,1,0,2,3,1,0,1,236.94003,0.18834355719596463,0.0,0.16666666666666666,0.0,0.0,78.98001000000001,0.3333333333333333,0.0,0.3333333333333333
"Armstrong, Andrew",803262,NEW_YOR13,Four-Seam,103,53,21,44,34,9,31,29,4,0,15,2363.87708,0.31031537777281304,0.39622641509433965,0.42718446601941745,0.2647058823529412,0.2903225806451613,81.5130027586207,0.13793103448275862,0.0,0.5172413793103449
"Armstrong, Andrew",803262,NEW_YOR13,Sinker,82,36,6,24,22,3,19,27,6,0,5,2175.7999,0.254945517460755,0.16666666666666666,0.2926829268292683,0.13636363636363635,0.15789473684210525,80.58518148148148,0.2222222222222222,0.0,0.18518518518518517
"Armstrong, Andrew",803262,NEW_YOR13,Slider,105,48,22,34,51,9,20,19,2,0,4,1489.78287,0.24445006829430452,0.4583333333333333,0.3238095238095238,0.17647058823529413,0.45,78.4096247368421,0.10526315789473684,0.0,0.21052631578947367
"Armstrong, Andrew",803262,NEW_YOR13,Splitter,1,0,0,1,0,0,0,0,0,0,0,0.0,,,1.0,,,,,,
"Armstrong, Andrew",803262,NEW_YOR13,,4,3,1,1,1,0,1,0,0,0,0,0.0,,0.3333333333333333,0.25,0.0,0.0,,,,
"Austin, Zack",813186,SUS_COU1,Changeup,5,2,0,0,3,0,1,1,0,0,0,71.21034,0.09429011789286346,0.0,0.0,0.0,0.0,71.21034,0.0,0.0,0.0
