pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,archetype,cluster,IVB,HB,velocity,spin_rate,extension,release_height,release_side,stuff_plus_raw,stuff_plus_20_80,stuff_plus_0_100,stuff_plus_rank,stuff_plus_pitch_type_rank,stuff_plus_model_type,stuff_plus_model_pitch_type
"Armstrong, Andrew",803262.0,NEW_YOR13,Four-Seam,R,84,37,47.58782405187818,41.38834315651605,896,280,155,Soft-Speed Separation,0,14.813764728682171,-9.351287906976744,88.84995868217054,2115.303490697674,6.434158372093023,5.352328914728682,-2.42795496124031,48.27764452936992,44.651009951072375,25.573018991486574,1137,381,pitch_type_specific,Four-Seam
"Armstrong, Andrew",803262.0,NEW_YOR13,Four-Seam,L,45,37,45.90147796144984,31.630648330058943,1045,343,163,Soft-Speed Separation,0,14.813764728682171,-9.351287906976744,88.84995868217054,2115.303490697674,6.434158372093023,5.352328914728682,-2.42795496124031,48.27764452936992,44.651009951072375,25.573018991486574,1138,382,pitch_type_specific,Four-Seam
"Escobar, Anthony",678673.0,TRO_AIG,Curveball,R,38,21,52.724443888931845,67.51800916830386,497,64,38,Tight High-Spin Breakers,1,-1.9525166,-5.936168,77.1532526,2221.11936,5.9782888000000005,5.703387,1.8537878,48.26075989260559,44.58934423033675,25.47478716437459,1139,144,pitch_type_specific,Curveball
"Bell, Jacob",1000200105.0,SCH_BOO,Four-Seam,R,59,34,41.871582045940215,14.276358873608382,1310,442,232,Soft-Speed Separation,0,16.68209306122449,11.735688367346938,87.09354704081633,2324.959658163265,6.095360408163265,6.025952653061225,1.68799,48.260543657981536,44.58855450272066,25.37655533726261,1140,383,pitch_type_specific,Four-Seam
"Bell, Jacob",1000200105.0,SCH_BOO,Four-Seam,L,39,34,40.64603879484845,10.478061558611657,1368,456,219,Soft-Speed Separation,0,16.68209306122449,11.735688367346938,87.09354704081633,2324.959658163265,6.095360408163265,6.025952653061225,1.68799,48.260543657981536,44.58855450272066,25.37655533726261,1141,384,pitch_type_specific,Four-Seam
"Gregory, Ben",833406.0,GAT_GRI,Four-Seam,R,74,18,62.86141958836757,95.02292075965948,77,10,7,Soft-Speed Separation,0,15.734623655913978,13.64623612903226,88.87292172043011,2229.8304548387096,6.4530883870967735,5.936906021505376,2.085194623655914,48.246044153099724,44.53559971125392,25.278323510150624,1142,385,pitch_type_specific,Four-Seam
"Mannering, Shawn",1000457814.0,DOW_EAS1,Sinker,L,27,15,61.58283270479593,93.64767518009168,98,7,3,Soft-Speed Separation,0,13.51220661016949,18.55734440677966,89.13675237288136,2231.0259694915253,5.822554406779661,5.100436271186441,1.920502372881356,48.240493189941716,44.51532659856022,25.180091683038636,1143,73,pitch_type_specific,Sinker
"Mannering, Shawn",1000457814.0,DOW_EAS1,Sinker,R,32,15,61.4193290089451,93.32023575638507,103,9,6,Soft-Speed Separation,0,13.51220661016949,18.55734440677966,89.13675237288136,2231.0259694915253,5.822554406779661,5.100436271186441,1.920502372881356,48.240493189941716,44.51532659856022,25.180091683038636,1144,74,pitch_type_specific,Sinker
"Wehrle, Tyler",806332.0,WIN_CIT29,Sinker,R,32,27,47.54135885164267,41.19187950229208,899,112,56,Soft-Speed Separation,0,15.485736702127658,16.561209468085107,91.29753925531917,2318.854636170213,5.694862127659575,5.718070531914894,1.6036348936170213,48.22516534137089,44.4593465474262,25.04911591355599,1145,75,pitch_type_specific,Sinker
"Wehrle, Tyler",806332.0,WIN_CIT29,Sinker,L,62,27,46.04939077018856,32.35101506221349,1034,137,70,Soft-Speed Separation,0,15.485736702127658,16.561209468085107,91.29753925531917,2318.854636170213,5.694862127659575,5.718070531914894,1.6036348936170213,48.22516534137089,44.4593465474262,25.04911591355599,1146,76,pitch_type_specific,Sinker
"Foy, Corbin",813822.0,LAK_ERI24,Sinker,L,43,11,33.48032950569958,1.37524557956778,1507,257,128,Soft-Speed Separation,0,11.421206842105263,13.174307368421053,91.76157684210528,2242.8860736842107,6.327700350877193,5.307220701754385,1.7513445614035088,48.21096104162099,44.40746989802899,24.95088408644401,1147,77,pitch_type_specific,Sinker
