pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,pitcher_id_key,ivb,hb,spin_rate,velocity,extension,release_height,release_side
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,82,19,8,23,29,7,17,10,0,0,0,646.25152,0.1039384191036598,0.4210526315789473,0.2804878048780488,0.2413793103448276,0.4117647058823529,64.625152,0.0,0.0,0.0,1.598251218692466,-0.0052007094656252,0.0297920860347353,-0.0008739806359149,0.6201192988397359,0.0090041322191529,1.784361430077867,0.0779284167357906,-4.162026275671569,2.451433476370554,-2.0504840237295245,0.4901005398997597,-0.7302129662931038,-0.0358906975062723,-3.2315531555599777,0.98176846953121,3.968269647148655,80.0,100.0,1,1,805984,-10.500080243902438,-12.01293524390244,1945.7746609756098,81.40860719512196,5.351570975609756,6.060410609756097,2.076265
"Carroll, Jake",1000088275.0,JOL_SLA,Slider,56,23,6,13,17,4,13,11,0,0,2,755.35123,0.2039052418260956,0.2608695652173913,0.2321428571428571,0.2352941176470588,0.3076923076923077,68.66829363636363,0.0,0.0,0.1818181818181818,0.1811863425547578,-0.0005895803586731,-0.7577265771612147,0.0222286668676013,0.5562423599893136,0.0080766390670448,0.923063059558083,0.0403129330000801,-3.055281477082364,1.7995607900015125,-2.0504840237295245,0.4901005398997597,-0.7302129662931038,-0.0358906975062723,-1.3511105596943014,0.4104768458090466,2.734276136780099,80.0,99.82394366197182,2,1,1000088275,-6.430947142857143,7.729745535714286,2018.8052946428572,75.23587785714287,6.094660535714286,6.239960357142857,-1.8926617857142856
"Harper, Scott",1000241275.0,NEW_YOR13,Slider,114,42,18,49,38,10,27,20,0,0,2,1430.82016,0.1332395495428222,0.4285714285714285,0.4298245614035088,0.2631578947368421,0.3703703703703703,71.541008,0.0,0.0,0.1,1.664766508796889,-0.005417150219625,2.462424416286296,-0.0722376826761747,0.8487315010412458,0.0123235813951188,1.4417838173268411,0.0629670246541151,-2.2689222629523957,1.336395212878961,-2.0504840237295245,0.4901005398997597,-0.7302129662931038,-0.0358906975062723,-2.197309727833856,0.6675580764840201,2.4557989049099023,77.60174687084346,99.64788732394366,3,2,1000241275,3.247716842105263,-16.382237368421052,2649.9348342105263,79.7882595614035,5.702628596491228,4.327527894736843,1.8054618421052633
"Escobar, Anthony",678673.0,TRO_AIG,Changeup,82,42,14,17,31,6,20,23,1,0,3,1630.09381,0.1228656937625018,0.3333333333333333,0.2073170731707317,0.1935483870967742,0.3,70.87364391304348,0.0434782608695652,0.0,0.1304347826086956,0.8222395008075307,-0.0026755673356277,-1.162128052856431,0.0340921885585962,0.1180328224993225,0.0017138365826901,0.8594018756500987,0.0375326581152667,-2.4516024157725327,1.4439938228900218,-1.5529434726513645,0.3711798900027112,-0.7302129662931038,-0.0358906975062723,-1.8825399889606884,0.5719288264261798,2.421874957733566,77.22046149729393,99.47183098591547,4,1,678673,9.994268902439025,11.492933414634146,1578.7038975609755,79.53455963414633,6.259494512195122,5.540091585365854,1.9451879268292684
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,93,38,13,30,35,9,23,18,0,0,2,1303.91183,0.1535704804828149,0.3421052631578947,0.3225806451612903,0.2571428571428571,0.391304347826087,72.43954611111111,0.0,0.0,0.1111111111111111,0.8998406725960241,-0.0029280815486274,0.715466574536642,-0.0209889274306069,0.7855909880522572,0.0114067811465187,1.6150324498622577,0.0705333121828343,-2.022961950342424,1.1915245887516877,-2.0504840237295245,0.4901005398997597,-0.7302129662931038,-0.0358906975062723,-2.082393791419842,0.6326458105898879,2.3364033260851818,76.25981022544916,99.29577464788731,5,3,1000132418,-2.270414086021505,-8.21379870967742,2493.7772677419352,85.36341602150539,5.845110752688171,4.581446774193548,1.9467639784946236
"Webster, Evan",804248.0,FLO_Y'A,Cutter,99,43,12,31,22,6,23,24,2,1,3,1713.87365,0.1364701407377817,0.2790697674418604,0.3131313131313131,0.2727272727272727,0.2608695652173913,71.41140208333333,0.0833333333333333,0.0416666666666666,0.125,0.3421950427670817,-0.001113502669164,0.5615409695467865,-0.0164733658826245,0.949182317160091,0.0137821272451645,0.535560200987745,0.0233895206577377,-2.304399791824285,1.3572914773845035,-1.0968646341630517,0.2621692942637501,0.6182564812611585,0.0303879243104672,-1.938748870902325,0.5890054782222227,2.2584389535320577,75.38353616577227,99.11971830985917,6,1,804248,5.607825959595959,-0.17706030303030304,2063.801609090909,84.25019595959596,6.962036868686869,5.745224444444445,-2.778970101010101
"Vitas, Ben",1000076969.0,JOL_SLA,Splitter,59,23,9,15,27,8,19,10,1,0,0,738.7632,0.1706718036037681,0.391304347826087,0.2542372881355932,0.2962962962962963,0.4210526315789473,73.87631999999999,0.1,0.0,0.0,1.3350820274097497,-0.0043443569171913,-0.3978176813075761,0.011670379498839,1.1965889568602102,0.0173744716536102,1.861227875044163,0.0812854049868037,-1.6296682764391983,0.9598746148226878,-0.9061407562497568,0.216583045136548,-0.7302129662931038,-0.0358906975062723,-3.2315531555599777,0.98176846953121,2.228321331206235,75.04503166276635,98.943661971831,7,1,1000076969,2.187147966101695,7.933433050847457,1047.9650574576272,81.64284762711864,5.03738593220339,5.484180169491525,1.6964181355932204
"McEvoy, Aidan",1000079355.0,FLO_Y'A,Slider,78,37,17,25,37,9,24,20,1,0,2,1452.84594,0.1417599955942733,0.4594594594594595,0.3205128205128205,0.2432432432432432,0.375,72.642297,0.05,0.0,0.1,1.9380185113880333,-0.0063063122360566,0.6817825893598166,-0.0200007740414595,0.639685208037162,0.0092882292206995,1.4800984187529431,0.0646403382421973,-1.9674621653067133,1.1588352153656545,-1.4783123899896404,0.3533417925181539,-0.7302129662931038,-0.0358906975062723,-2.197309727833856,0.6675580764840201,2.1914658680469365,74.63079775994278,98.76760563380282,8,4,1000079355,6.688589230769231,10.221393974358975,2206.8585205128206,78.78477935897435,6.100923717948718,4.801604743589744,-2.888733076923077
"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,78,21,3,22,23,5,14,16,2,0,3,1118.83708,0.1125919308725315,0.1428571428571428,0.282051282051282,0.217391304347826,0.3571428571428571,69.9273175,0.125,0.0,0.1875,-0.8628145151711873,0.002807598432367,0.05526046507087,-0.001621121003319,0.3683145543858977,0.0053479273296832,1.33231352753798,0.0581861286881662,-2.710644005110823,1.5965693190102748,-0.6200549393798148,0.1482036714457452,-0.7302129662931038,-0.0358906975062723,-1.2923467285734986,0.3926239825677289,2.1662268089643737,74.34712546142421,98.59154929577466,9,5,1000137537,-4.042234102564103,11.508570897435899,2219.105,76.82941141025641,5.546514358974359,4.826601153846154,-2.1251998717948717
"Correa, Nelvin",673388.0,QUE_CAP,Cutter,68,37,12,25,11,4,17,19,1,0,4,1337.13515,0.1366108760462505,0.3243243243243243,0.3676470588235294,0.3636363636363636,0.2352941176470588,70.37553421052633,0.0526315789473684,0.0,0.2105263157894736,0.7425410000517805,-0.0024162284141684,1.4495793103021526,-0.0425248586470239,1.9034650702891216,0.027638312820598,0.3238989757182327,0.0141456399665423,-2.5879519112810536,1.5243036757445405,-1.4481980934770151,0.3461439637085958,-0.7302129662931038,-0.0358906975062723,-1.0541985708734058,0.3202729052213368,2.151672712894149,74.18354591309023,98.41549295774648,10,2,673388,12.427698970588235,-0.6684785294117647,2249.862566176471,87.02567426470588,5.977862647058823,6.193657205882353,1.5638489705882352
