variable,coefficient,std_error,t_stat,p_value,vif
Intercept,50.0931736201693,0.5290688131704175,94.68177366189579,0.0,
ivb,-0.09918523194832193,0.7398377808782689,-0.13406348595847342,0.8934007979587357,3.292804400033719
hb,-1.0930077155509588,0.5320486902296339,-2.054337761980418,0.04040906988877673,1.7029256201074117
spin_rate,1.1181492516977232,0.5590570586879053,2.0000628456816107,0.04597852612707522,1.880204956108286
velocity,-1.8267254132971391,0.6897695861779671,-2.64831249434913,0.008318807955972687,2.862206772663868
extension,0.16798520970622635,0.4413525496645581,0.3806145672748473,0.7036343806486874,1.1718288938338206
release_height,-0.22285211780327416,0.4343926685372201,-0.5130199792591101,0.6081407467593144,1.1351621352391672
release_side,0.5480261159028497,0.5567755941429302,0.9842854494124351,0.3254025304725913,1.8648903541795823
ivb_x_velocity,-0.12497366476635309,0.44006593914998027,-0.2839884972869041,0.7765247300766308,1.659324270185782
hb_x_velocity,-0.5733627954408202,0.4917393795140243,-1.1659891790799075,0.24411783983789084,1.301125414268994
spin_x_velocity,1.1971913167402952,0.5443387747803791,2.199349692153234,0.028263242351422614,1.8392553350479675
