pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,groundball_count,line_drive_count,flyball_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,groundball_pct,line_drive_pct,flyball_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,groundball_score_raw,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_raw,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_raw,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_raw,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,pitcher_id_key,ivb,hb,spin_rate,velocity,extension,release_height,release_side
"Kelly, Colin",1000456530.0,SUS_COU1,Sinker,96,44,11,28,15,3,27,29,5,1,9,12,5,12,2247.50818,0.1910244727103427,0.25,0.2916666666666667,0.2,0.1111111111111111,77.5002820689655,0.1724137931034483,0.0344827586206896,0.3103448275862069,0.4137931034482758,0.1724137931034483,0.4137931034482758,0.0442230666805142,-0.0001439018589783,0.247441209688271,-0.0072589353274151,0.2116807370718374,0.003073604302283,-0.7122091205864494,-0.031104308923372,-0.6069596330361575,0.3574992238582967,-0.0327449732368528,0.0078266052681528,0.4016975523177232,0.0197438363939684,-0.0273713840348742,0.008315618069483,0.3579517417824186,54.08644406149289,69.08602150537635,231,24,0.2151635395181828,52.15163539518183,61.49193548387096,288,55,-0.7122091205864494,42.87790879413551,26.478494623655912,550,58,0.338070929099125,53.38070929099125,63.97849462365591,269,37,0.0160935868281814,50.16093586828181,51.20967741935484,364,77,1000456530,14.329698854166667,15.794738229166667,2008.3051427083335,90.53656854166667,5.907203958333334,6.1022153125,2.4905373958333334
"Peyton, Blake",1000017005.0,GAT_GRI,Sinker,73,34,9,21,21,3,16,25,3,0,7,8,5,12,1969.59775,0.1793371636894535,0.2647058823529412,0.2876712328767123,0.1428571428571428,0.1875,78.78390999999999,0.12,0.0,0.28,0.32,0.2,0.48,0.1765527981542636,-0.0005745028051939,0.1817511429774834,-0.0053318515303874,-0.4156961267296685,-0.0060359077601147,-0.1027272173765463,-0.0044864057644859,-0.2358699453670613,0.1389273978211991,-0.6665374070270194,0.1593137714153771,-0.7535608244918718,-0.0370382680845999,-0.3596890651370297,0.1092760558120855,0.3540502891038797,54.04190434770348,68.95161290322581,232,25,-0.5032754611542838,44.96724538845716,33.66935483870967,495,94,-0.1027272173765463,48.97272782623454,52.352150537634415,358,21,-0.0195929038051112,49.80407096194889,46.90860215053764,404,61,-0.5127360302573349,44.87263969742665,31.98924731182796,507,98,1000017005,16.590795479452055,-14.9976098630137,2208.4614712328766,89.0919690410959,6.068682465753425,6.17718602739726,-2.0863157534246577
"Whitesell, Max",1000223610.0,FLO_Y'A,Slider,139,67,18,33,56,13,46,44,7,3,15,13,7,24,3432.42154,0.2234026899740026,0.2686567164179104,0.237410071942446,0.2321428571428571,0.2826086956521739,78.00958045454546,0.1590909090909091,0.0681818181818181,0.3409090909090909,0.2954545454545454,0.1590909090909091,0.5454545454545454,0.2121040692964644,-0.0006901866414906,-0.6446069418529733,0.0189101892461988,0.5645802229601834,0.0081977048373818,0.6561138874104868,0.0286544618048781,-0.4597243055196188,0.2707776159510555,-0.1938465189072002,0.0463326134096422,1.530700056927101,0.0752354384980239,0.3073494207942594,-0.0933749054832415,0.3540429316224483,54.04182035331878,68.81720430107528,233,79,-0.691289410862353,43.08710589137647,26.276881720430108,550,122,0.6561138874104868,56.56113887410487,76.9489247311828,173,67,0.5108063029449211,55.10806302944921,71.9758064516129,210,62,-1.03555621987597,39.6444378012403,15.38978494623656,632,132,1000223610,6.333138129496403,-4.273674532374101,2084.6824769784175,80.21163604316547,6.313360863309352,5.037913812949641,2.904064820143885
"Moore, Kyle",1000517760.0,SCH_BOO,Four-Seam,166,81,9,42,49,9,47,68,7,2,27,17,16,35,5253.84947,0.2242214198019786,0.1111111111111111,0.253012048192771,0.1836734693877551,0.1914893617021276,77.26249220588235,0.1029411764705882,0.0294117647058823,0.3970588235294117,0.25,0.2352941176470588,0.5147058823529411,-1.2055577305715628,0.0039228848552798,-0.3880903995739237,0.0113850199619006,0.0324302045571216,0.0004708865701694,-0.0708974081180025,-0.0030963025047375,-0.6757033584483095,0.3979892781260543,-0.8728142788604291,0.2086174504903832,0.2318066145516061,0.0113935269118259,0.9222663744622608,-0.280190980426256,0.3504917639846198,54.001279559096886,68.68279569892472,234,43,-1.0394633918032208,39.605366081967794,14.85215053763441,637,170,-0.0708974081180025,49.291025918819976,54.03225806451613,343,85,-0.4771922194325894,45.2280778056741,27.41935483870968,543,174,-0.7899503301449934,42.10049669855007,22.58064516129032,577,144,1000517760,17.93012560240964,14.449532469879518,2174.0960277108434,88.41846108433735,4.697111506024096,6.347284638554217,1.8537224698795183
"Hill, Kaleb",1000371973.0,OTT_TIT,Slider,137,50,9,34,26,6,27,27,3,0,12,7,7,13,2053.04486,0.239689610648109,0.18,0.2481751824817518,0.2307692307692307,0.2222222222222222,76.03869851851852,0.1111111111111111,0.0,0.4444444444444444,0.2592592592592592,0.2592592592592592,0.4814814814814814,-0.5856664551345326,0.0019057586450077,-0.4676146885326958,0.0137179445027951,0.54949904834957,0.0079787261820357,0.1743100113552276,0.0076126411259168,-1.0294952994270825,0.6063727313625515,-0.7740226735762289,0.1850045773701695,-0.7535608244918718,-0.0370382680845999,1.441204226896369,-0.4378479325607051,0.3477061785431715,53.96947879447899,68.54838709677419,235,80,-0.9685390623523038,40.314609376476966,17.137096774193548,619,131,0.1743100113552276,51.74310011355227,62.634408602150536,280,104,-0.7879078041179141,42.12092195882086,18.14516129032258,610,127,-0.5245694090347109,44.75430590965289,31.451612903225808,510,109,1000371973,0.8218204379562044,9.025142335766423,2251.5640391970805,79.04399795620438,5.239502700729927,6.189682116788321,-3.04363102189781
"Ginn, Landon",701061.0,WAS_WIL3,Four-Seam,123,60,7,29,25,4,40,44,8,2,13,14,7,23,3428.7080100000003,0.2442337718377676,0.1166666666666666,0.2357723577235772,0.16,0.1,77.92518204545455,0.1818181818181818,0.0454545454545454,0.2954545454545454,0.3181818181818182,0.1590909090909091,0.5227272727272727,-1.1555664986814802,0.0037602133867095,-0.6715330685131594,0.019700094097902,-0.2274830675892162,-0.0033030541413954,-0.800861033780617,-0.0349760039283008,-0.4841234156605717,0.2851486918240767,0.0809737648833919,-0.0193541063611336,0.7692797631207768,0.0378108696371493,-0.1904404940798375,0.0578571551849132,0.3466438596999208,53.95735116379113,68.41397849462365,236,44,-0.5172024203919187,44.827975796080814,32.93010752688172,498,96,-0.800861033780617,41.99138966219383,22.58064516129032,576,180,0.5108063029449211,55.10806302944921,71.9758064516129,209,39,-0.8540214318139441,41.45978568186056,20.900537634408604,589,152,701061,15.717087560975608,3.6536245528455287,2597.031537398374,91.8730105691057,5.686028373983739,6.438987235772357,0.654890162601626
"Aldeano, Austin",699054.0,TRO_AIG,Sinker,70,36,8,16,15,3,16,24,4,0,8,5,6,13,1853.6944,0.2196292268060527,0.2222222222222222,0.2285714285714285,0.2,0.1875,77.23726666666667,0.1666666666666666,0.0,0.3333333333333333,0.2083333333333333,0.25,0.5416666666666666,-0.2057330927699012,0.0006694554838732,-0.7899255988996294,0.0231732573693195,0.2116807370718374,0.003073604302283,-0.1027272173765463,-0.0044864057644859,-0.6829959213806914,0.4022845976932272,-0.1022397576436702,0.0244370401527171,-0.7535608244918718,-0.0370382680845999,0.22438443498191,-0.0681695620385491,0.3439437191137852,53.9265258536293,68.27956989247312,237,26,-1.3586228743323503,36.4137712566765,7.258064516129033,691,114,-0.1027272173765463,48.97272782623454,52.352150537634415,353,20,-0.6678586009440394,43.321413990559606,21.236559139784948,575,92,-1.0053004218656325,39.94699578134368,16.532258064516128,621,111,699054,16.030849,17.757058571428573,2218.8257399999998,90.18807685714286,6.062735714285714,5.661507285714286,3.0507898571428576
"Jones, Breyln",690202.0,NEW_JER6,Slider,84,42,13,26,24,4,19,29,5,0,7,11,5,13,2283.36378,0.2183315638416285,0.3095238095238095,0.3095238095238095,0.1666666666666666,0.2105263157894736,78.73668206896552,0.1724137931034483,0.0,0.2413793103448276,0.3793103448275862,0.1724137931034483,0.4482758620689655,0.5798434083599755,-0.0018868104508033,0.5410355894772981,-0.015871820052906,-0.154289100145708,-0.0022402777341156,0.0809922079929451,0.0035371726996758,-0.2495232772657487,0.1469692103095259,-0.0327449732368528,0.0078266052681528,-0.7535608244918718,-0.0370382680845999,-0.7826388410852281,0.2377711583935798,0.3390669703485095,53.87085197722345,68.14516129032258,238,81,-0.048968446023165,49.51031553976835,52.553763440860216,354,78,0.0809922079929451,50.80992207992945,59.13978494623656,305,110,0.338070929099125,53.38070929099125,63.97849462365591,268,71,-0.2593385054038588,47.406614945961415,40.524193548387096,444,97,690202,7.933766666666667,-0.8592504761904762,2082.7146285714284,86.08455000000001,5.91811869047619,5.673174166666667,1.5853365476190477
"Allemann, Braeden",1000367619.0,QUE_CAP,Curveball,215,82,25,67,84,18,54,49,4,0,16,24,7,18,3867.76383,0.241652279383734,0.3048780487804878,0.3116279069767442,0.2142857142857142,0.3333333333333333,78.93395571428572,0.0816326530612244,0.0,0.3265306122448979,0.4897959183673469,0.1428571428571428,0.3673469387755102,0.5380388938874324,-0.0017507785607097,0.5756296559330605,-0.0168866715864522,0.3685249530222125,0.0053509823178825,1.0608291432969046,0.0463295911752057,-0.1924925648160612,0.11337812067666,-1.130478914683302,0.2702036787508588,-0.7535608244918718,-0.0370382680845999,0.149885264048371,-0.0455361924147434,0.3340504622741017,53.81358258239381,68.01075268817203,239,31,0.7973319974460528,57.97331997446053,78.15860215053763,163,36,1.0608291432969046,60.60829143296905,85.48387096774194,104,27,0.7212821786393792,57.21282178639379,80.71236559139786,138,18,0.3870837518754177,53.87083751875418,65.86021505376344,254,44,1000367619,-7.1211064186046515,-15.899280930232559,2192.116348372093,76.76015423255814,6.114045023255814,5.159187767441861,1.5973368837209303
"Nabholz, Nate",1000113106.0,TRI_VAL,Slider,98,46,16,39,31,7,26,31,5,1,12,11,5,15,2366.49034,0.2215265381642981,0.3478260869565217,0.3979591836734694,0.2258064516129032,0.2692307692307692,76.33839806451613,0.1612903225806451,0.032258064516129,0.3870967741935484,0.3548387096774194,0.1612903225806451,0.4838709677419355,0.9245034543102376,-0.0030083342403255,1.9950268036705807,-0.0585261063124801,0.495012223949936,0.007187577491753,0.5493757979459372,0.0239928892236929,-0.9428538293951908,0.5553409055137672,-0.1672510075726275,0.0399758340769867,0.3271647538138789,0.0160804748147059,0.8131682052631,-0.2470461929363666,0.3339970476317336,53.81297279084198,67.8763440860215,240,82,-0.2364169518912183,47.635830481087815,44.48924731182796,414,92,0.5493757979459372,55.493757979459374,75.26881720430107,185,72,0.4822902165605116,54.82290216560512,70.96774193548387,217,63,-0.543655503836932,44.56344496163068,30.64516129032258,518,112,1000113106,6.364354387755102,-1.623308469387755,1991.9279459183674,83.35422806122449,5.677173775510204,6.343409591836735,0.7929161224489797
