leaderboard,leaderboard_rank,pitcher_name,pitcher_team,pitch_type,batter_side,pitch_count,split_batted_ball_count,split_terminal_pa_count,k_pct,groundball_pct,line_drive_pct,flyball_pct,final_pitch_score_20_80,raw_pitch_score_20_80,groundball_score_20_80,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,stuff_plus_20_80,execution_plus_20_80,movement_quality_20_80,archetype,platoon_category,quadrant_label,overall_rank,pitch_type_rank,pitch_type_batter_side_rank
Best Overall Pitches,1427,"Matos, Dwayne",OTT_TIT,Sinker,L,211,87,60,0.1333333333333333,0.2183908045977011,0.3218390804597701,0.4597701149425287,38.79417006638687,37.52118255252142,39.61376150533988,1314,112,45.57960059542091,936,56,38.57945050688295,1333,116,47.07010313469637,925,88,41.76447426540627,37.36129838832993,39.50505978034026,25.978898007034,Soft-Speed Separation,Balanced Weapon,Low Priority,1427,228,109
Best Overall Pitches,1428,"Quigley, Michael",NEW_ENG23,Curveball,L,37,5,6,0.3333333333333333,0.2,0.4,0.4,38.78853226659656,38.548486225117216,38.47754488695408,1368,73,59.21371643327984,282,34,31.246278202247336,1474,71,50.84544459873232,702,53,39.34863969671503,53.08998451599987,33.460669180543015,74.23212192262602,Tight High-Spin Breakers,Balanced Weapon,Development Target,1428,148,68
Best Overall Pitches,1429,"Baker, Luke",EVA_OTT,Four-Seam,R,38,14,13,0.0,0.3571428571428571,0.2142857142857142,0.4285714285714285,38.7812408191172,37.94312284207818,48.18611009941132,829,71,36.49019003684828,1490,250,48.67026533784162,889,144,49.04074840438546,813,74,40.73684943220823,43.163342627652646,37.26017966680027,51.30128956623681,Soft-Speed Separation,Balanced Weapon,Low Priority,1429,476,246
Best Overall Pitches,1430,"Townes, Holland",SCH_BOO,Sinker,L,49,18,15,0.2,0.1666666666666666,0.2222222222222222,0.6111111111111112,38.76783285858567,37.5446706555455,36.418152266129816,1441,125,50.12430587470722,654,28,47.92565050298717,945,76,37.51074494050279,1375,119,41.62187799901273,38.60294556478658,38.991613993593774,21.547479484173504,Soft-Speed Separation,Balanced Weapon,Low Priority,1430,229,110
Best Overall Pitches,1431,"Nettleton, Blake",WIN_CIT29,Four-Seam,L,135,33,39,0.0512820512820512,0.4545454545454545,0.1818181818181818,0.3636363636363636,38.73053969661542,34.02941710825736,54.20381580961208,467,25,39.98611717476084,1320,213,51.71641693497349,671,84,53.14233066426467,548,39,49.69982573611756,44.00633370567229,36.86558346291518,38.710433763188746,Soft-Speed Separation,Balanced Weapon,Low Priority,1431,477,231
Best Overall Pitches,1432,"Harris, Ben",GAT_GRI,Sinker,R,39,11,10,0.2,0.2727272727272727,0.3636363636363636,0.3636363636363636,38.72336024357938,35.79978672170842,42.97076515057065,1129,108,50.12430587470722,645,25,34.65796799103503,1426,123,53.14233066426467,550,67,45.54503179461161,35.71294701074845,40.03842642499818,30.058616647127785,Soft-Speed Separation,Balanced Weapon,Low Priority,1432,230,120
Best Overall Pitches,1433,"Gwin, Riley",QUE_CAP,Changeup,R,27,9,7,0.1428571428571428,0.2222222222222222,0.5555555555555556,0.2222222222222222,38.64302957814326,35.03850151901649,39.85047330083693,1298,82,46.22884420674752,890,52,20.0,1521,83,62.07466536355717,182,16,47.05359504943907,51.88590056035851,33.71883679159885,54.74794841735052,Soft-Speed Separation,Balanced Weapon,Development Target,1433,180,80
Best Overall Pitches,1434,"Peters, Garrett",NEW_YOR13,Sinker,R,41,8,10,0.4,0.125,0.25,0.625,38.63659872896227,32.7378697864704,33.84391149009949,1482,129,63.75842171256616,163,2,45.319498580996566,1081,94,36.63346206825085,1395,124,52.40029959477665,51.48623825184849,33.863208683689955,53.41148886283705,Soft-Speed Separation,,Development Target,1434,231,121
Best Overall Pitches,1435,"Glickstein, Aaron",SCH_BOO,Cutter,R,31,9,6,0.1666666666666666,0.3333333333333333,0.4444444444444444,0.2222222222222222,38.588261138499576,37.33718620136961,46.71511537025113,936,25,47.85195323506406,791,20,27.076435127062386,1500,35,62.07466536355717,189,8,41.50743599180283,38.96155370834135,38.60228505867461,49.05041031652989,Soft-Speed Separation,Balanced Weapon,Low Priority,1435,62,33
Best Overall Pitches,1436,"Givens-Craig, Hayden",SUS_COU1,Changeup,R,35,6,5,0.2,0.5,0.3333333333333333,0.1666666666666666,38.536353882642096,30.868010950039032,57.01207847437245,314,30,50.12430587470722,629,33,37.501042815024775,1353,78,65.58379685256494,88,5,56.42915405871592,51.63683237765916,33.664902774814536,52.49706916764361,Soft-Speed Separation,Balanced Weapon,Development Target,1436,181,81
