pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,raw_pitch_score_20_80,raw_pitch_score_0_100,split_batted_ball_count,split_terminal_pa_count,split_strikeout_count,split_groundball_count,split_line_drive_count,split_flyball_count,k_pct,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,location_score_0_100,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,platoon_gap,better_side,platoon_category,IVB,HB,velocity,spin_rate,extension,release_height,release_side,movement_quality_20_80,movement_quality_0_100,archetype,cluster,stuff_plus_raw,stuff_plus_20_80,stuff_plus_0_100,execution_raw,execution_plus_20_80,execution_plus_0_100,quadrant_label
"Maryniak, Connor",831880.0,NEW_JER6,Curveball,L,97,46,61.138733920617895,87.80773739742087,29,36,16,20,5,4,0.4444444444444444,0.6896551724137931,0.1724137931034483,0.1379310344827586,68.72931235147601,95.80877537655532,65,13,66.78822523209035,92.6326129666012,115,21,52.59875050103927,60.37982973149967,608,31,67.39886486412068,95.74328749181402,66,18,45.71345186318845,37.31513083048919,56.51114930338906,81.85985592665357,278,41,15,3.6976914336488704,RHH,Balanced Weapon,-9.795399166666666,-4.588740666666667,81.53824272222222,2515.2550855555555,4.765186055555556,6.131989222222222,1.5980840555555555,62.76670574443142,71.2778429073857,Tight High-Spin Breakers,1,52.25262378253981,59.168346863745214,83.26784544859201,4.258525520849254,55.96902311781369,73.41191879502293,Elite Weapon
"Lovell, Justin",822485.0,WIN_CIT29,Sinker,L,77,36,60.45168061689478,86.51817116060961,22,16,2,7,5,10,0.125,0.3181818181818182,0.2272727272727272,0.4545454545454545,45.77902781533101,36.05108055009823,977,91,45.01151243551012,35.59266535690897,992,62,47.45180469898887,36.86967910936477,965,81,47.40011550043378,40.76620825147348,906,84,47.29253512871464,44.937428896473264,56.50393697044073,81.79436804191225,279,18,9,-1.3752648910715024,Balanced,Balanced Weapon,12.337392093023256,-14.872917906976744,93.1404872868217,2238.687412403101,6.268496511627907,5.172895813953489,-2.762641240310077,31.46541617819461,19.10902696365768,Soft-Speed Separation,0,50.15199700326841,51.4964812412651,59.10281597904388,6.351939967172321,58.90328737526392,81.59790438768827,Elite Weapon
"Williams, Pierce",1000337420.0,NEW_ENG23,Four-Seam,R,175,74,55.925879235194245,74.67760844079719,44,44,13,9,5,30,0.2954545454545454,0.2045454545454545,0.1136363636363636,0.6818181818181818,38.75837115343012,12.115258677144729,1343,203,56.63149752459444,77.96332678454486,337,34,58.11333528895041,81.33595284872298,286,32,33.04457759085655,3.601833660772757,1473,236,57.77641413361834,79.40841865756542,56.48103970472147,81.72888015717092,280,60,35,0.6598425121300053,Balanced,Balanced Weapon,16.55146501872659,-11.426028501872658,85.70189310861424,1922.169372659176,6.164589475655431,5.976553146067416,-1.5688738202247192,51.16060961313013,51.93434935521688,Soft-Speed Separation,0,48.43860459394596,45.23886496567968,29.502292075965947,8.042435110775507,61.2727940374447,87.62278978388997,Command/Deception Weapon
"Glickstein, Aaron",1000292360.0,SCH_BOO,Slider,R,32,16,51.07052273636239,56.62368112543963,7,8,3,3,2,2,0.375,0.4285714285714285,0.2857142857142857,0.2857142857142857,52.59909428689188,63.78519973804846,538,60,62.05415723283379,87.06614276358874,192,42,41.96873182415151,19.05697445972495,1228,145,58.06422937611972,79.56777996070727,301,29,69.04810185119248,95.44937428896472,56.46379647081142,81.6633922724296,281,105,75,,,,7.460648727272726,-0.4678549090909091,84.85907345454545,2240.4119945454545,5.581444363636364,5.235963636363636,2.4111254545454543,57.84290738569753,63.07151230949589,Tight High-Spin Breakers,1,52.27973116139033,59.267347871430616,83.49705304518665,4.184065309421087,55.86465489900273,73.0844793713163,Elite Weapon
"Fowler, Dalton",687096.0,SUS_COU1,Four-Seam,L,43,20,52.825258616227046,64.47831184056272,12,12,2,7,2,3,0.1666666666666666,0.5833333333333334,0.1666666666666666,0.25,62.1605600264331,88.53962017026849,173,5,47.85195323506406,49.08316961362148,756,93,53.13795434696837,63.0648330058939,538,66,60.32009961905328,84.61034708578913,214,9,64.95332311293483,92.15017064846415,56.46367796523937,81.59790438768827,282,61,26,-10.345257786621175,LHH,Left-Handed Killer,14.637967640449435,-10.859139101123596,92.19468202247192,2106.6310078651686,5.569549325842696,6.606794719101123,-1.419548426966292,27.1746776084408,11.957796014067997,Soft-Speed Separation,0,49.22862852062382,48.12417399050268,41.02815979043877,7.235049444615548,60.14111038715178,84.80681074001309,Command/Deception Weapon
"Almanzar, Elian",687038.0,DOW_EAS1,Four-Seam,R,65,23,54.12114723082706,68.93317702227432,11,14,3,4,2,5,0.2142857142857142,0.3636363636363636,0.1818181818181818,0.4545454545454545,48.58729048009137,47.2822527832351,800,66,51.09817129169714,61.62409954158481,583,75,51.71641693497349,55.95939751146039,661,101,47.40011550043378,40.76620825147348,897,92,61.90520254751237,88.16837315130832,56.45636382583265,81.53241650294696,283,62,36,0.71847424609944,Balanced,Balanced Weapon,15.980507755102042,3.676556802721088,95.13262544217687,2279.442606802721,6.178857823129252,6.750843741496598,0.8258653741496599,21.969519343493552,3.2825322391559206,Soft-Speed Separation,0,50.140629833282816,51.454966298440446,58.57891290111329,6.315733992549838,58.85253875382992,81.46692861820564,Elite Weapon
"Shinn, Nathan",1000490914.0,LAK_ERI24,Four-Seam,L,101,73,55.24054305725065,73.1535756154748,32,25,4,10,5,17,0.16,0.3125,0.15625,0.53125,45.427994982235965,34.937786509495744,993,110,47.39748270713543,46.79109364767518,812,109,54.11526131771484,67.3215455140799,499,56,42.55512145595146,23.051735428945644,1175,157,59.21078418691548,82.87827076222982,56.43161539615009,81.46692861820564,284,63,27,-4.265609473070398,LHH,Balanced Weapon,17.40977764,-9.48407284,89.0775906,1970.19583,5.88117904,5.802242000000001,-2.28558964,40.39859320046894,33.99765533411489,Soft-Speed Separation,0,49.42153578738129,48.82870591533919,45.28487229862476,7.010079608768805,59.825778203651765,83.9554682383759,Command/Deception Weapon
"Aldeano, Austin",699054.0,TRO_AIG,Sinker,L,45,24,54.3183358545629,69.51934349355217,12,9,2,2,3,7,0.2222222222222222,0.1666666666666666,0.25,0.5833333333333334,36.418152266129816,6.221349050425671,1426,122,51.63920763446932,63.42501637197119,550,20,45.319498580996566,28.127046496398165,1066,94,39.26531068500668,13.948919449901767,1313,116,61.18853693824222,86.29124004550626,56.3793961796667,81.40144073346431,285,19,10,0.7253445089794894,Balanced,Balanced Weapon,16.030849,17.757058571428573,90.18807685714286,2218.82574,6.062735714285714,5.661507285714286,3.0507898571428576,30.90269636576788,18.17116060961313,Soft-Speed Separation,0,48.49274629966373,45.43660018211001,30.02619515389653,7.88664988000297,61.05443544376184,87.3608382449247,Command/Deception Weapon
"Petschke, Ben",814386.0,EVA_OTT,Slider,L,58,42,64.63971110759583,92.37983587338805,16,13,5,8,3,5,0.3846153846153846,0.5,0.1875,0.3125,57.01207847437245,77.60314341846758,388,44,62.70964357119239,88.1139489194499,186,34,51.18334040547541,53.79829731499672,714,75,56.37232669391955,74.59070072036673,393,41,37.00043995269695,6.541524459613197,56.34792976112616,81.33595284872298,286,106,31,9.215465626568625,RHH,Right-Handed Killer,-1.72902625,-13.48878722222222,81.05430777777778,2628.153921527778,5.040848680555556,5.794823680555556,1.8442963194444444,70.01172332942555,83.35287221570925,Tight High-Spin Breakers,1,52.83834055597781,61.30748953439492,87.524557956778,3.509589205148352,54.91926583438254,70.33398821218074,Elite Weapon
"Widener, Jacob",683179.0,SUS_COU1,Sinker,R,81,42,63.73970760665779,91.20750293083236,25,16,1,10,6,9,0.0625,0.4,0.24,0.36,50.83390061189966,55.66470203012442,695,83,40.7508512361792,16.30648330058939,1285,84,46.25771327291319,32.31827111984283,1035,89,53.37201927081791,64.89849377865094,538,65,39.06889997097853,10.523321956769056,56.33846531595401,81.27046496398165,287,20,10,-2.9828609178839542,Balanced,Balanced Weapon,8.995283669064749,-11.35849071942446,88.90938323741007,2363.7378863309355,6.940390647482015,4.302227697841726,-4.389258057553956,50.2461899179367,50.410316529894494,Soft-Speed Separation,0,51.60292971626535,56.79554764907025,76.9155206286837,4.73553559968866,56.63763110761734,75.70399476096922,Elite Weapon
