pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,raw_pitch_score_20_80,raw_pitch_score_0_100,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,location_score_0_100,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,platoon_gap,better_side,platoon_category,IVB,HB,velocity,spin_rate,extension,release_height,release_side,movement_quality_20_80,movement_quality_0_100,archetype,cluster
"Vecerka, Boris",807828.0,QUE_CAP,Slider,R,48,10,80.0,99.73118279569891,0.4,0.2,0.4,51.09510745301644,57.66129032258065,323,73,70.8373583399884,96.3037634408602,29,11,49.80407096194889,46.90860215053764,409,97,51.26266423720997,55.51075268817204,341,73,63.70228407249685,90.94993581514764,75.11068522174905,100.0,1,1,1,,,,2.456283114754098,-11.820105737704916,82.9846080327869,2496.152949180328,5.6485701639344255,4.882090163934427,2.73322131147541,66.37096774193549,77.28494623655914,Tight High-Spin Breakers,3
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,R,54,22,79.2497765353483,99.46236559139786,0.5,0.1363636363636363,0.3636363636363636,58.75493503371554,80.1747311827957,156,29,64.69991819577679,89.98655913978494,76,29,58.05472528917162,82.93010752688173,130,35,54.16722084620239,67.00268817204301,251,52,63.04891546419519,89.98716302952504,74.38951821400236,99.9244142101285,2,2,2,4.3570541365930495,RHH,Balanced Weapon,-2.215829115044248,-8.520570530973451,85.37649053097346,2495.287846017699,5.8358920353982295,4.579917256637168,1.92866592920354,56.854838709677416,61.424731182795696,Tight High-Spin Breakers,3
"Harper, Scott",1000241275.0,NEW_YOR13,Slider,R,143,28,76.74410248881706,99.19354838709675,0.25,0.0714285714285714,0.6785714285714286,39.605366081967794,14.85215053763441,632,133,70.10671070377273,95.36290322580643,35,13,66.4737603169499,94.95967741935485,37,10,29.01168592903591,1.2096774193548387,736,154,67.46620051093913,94.1591784338896,73.96073189545368,99.848828420257,3,3,3,4.967568425355665,RHH,Balanced Weapon,3.456312126436782,-16.708678045977013,79.83878678160919,2674.8031310344827,5.632367471264367,4.205286724137931,1.860361091954023,77.41935483870968,95.6989247311828,Tight High-Spin Breakers,3
"Kirby, Zach",813716.0,WAS_WIL3,Slider,R,126,42,70.91584226396884,97.04301075268818,0.2619047619047619,0.1428571428571428,0.5952380952380952,40.5172503177653,17.6747311827957,613,130,45.01778256089128,36.29032258064516,475,135,57.21282178639379,80.71236559139786,144,39,35.6679614913102,7.526881720430108,689,141,80.0,99.42233632862644,73.64108958477819,99.77324263038548,4,4,4,,,,5.775077874015748,-13.35486874015748,77.95873236220473,2204.134622047244,5.682268267716535,6.0299599212598425,2.182132125984252,77.82258064516128,96.37096774193547,Tight High-Spin Breakers,3
"Bargo, Casey",1000492781.0,NEW_ENG23,Slider,R,29,16,72.76422828949876,97.98387096774194,0.625,0.125,0.25,68.32971950958941,95.76612903225806,31,7,65.92740622461912,91.12903225806453,66,26,59.528056419032815,85.75268817204301,102,25,63.24396024930369,90.05376344086021,70,12,73.70370238962111,97.75353016688062,73.04607051953546,99.697656840514,5,5,5,9.11917153306306,RHH,Right-Handed Killer,1.4834028571428572,-4.979310535714285,83.56961232142858,2415.5824839285715,5.66463625,5.811873571428571,2.415990178571428,61.93548387096774,69.89247311827957,Tight High-Spin Breakers,3
"Moore, Kyle",1000517760.0,SCH_BOO,Slider,R,31,20,70.38705125519395,96.90860215053765,0.2,0.15,0.65,35.775452291618244,5.846774193548387,704,150,43.98605770906261,31.98924731182796,508,139,56.28672793333817,77.41935483870968,167,47,31.29383755038709,2.553763440860215,726,152,77.50751341637829,98.7163029525032,72.52318990354925,99.62207105064248,6,6,6,,,,8.82592566037736,-1.174748679245283,84.08072056603774,2161.959054716981,4.865822641509434,6.387008301886793,2.451900943396226,58.225806451612904,63.70967741935484,Tight High-Spin Breakers,3
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,R,43,10,80.0,100.0,0.5,0.0,0.5,58.75493503371554,80.1747311827957,143,31,66.86607354079266,91.93548387096774,60,18,75.73469884750602,99.26075268817203,6,2,43.27513356248082,27.1505376344086,537,64,54.83443835488616,72.59306803594352,72.45033150646584,99.54648526077098,7,1,1,2.957564900068732,Balanced,Balanced Weapon,-10.500080243902438,-12.01293524390244,81.40860719512196,1945.774660975609,5.351570975609756,6.060410609756097,2.076265,57.25806451612903,62.096774193548384,Tight High-Spin Breakers,3
"Grounds, Jackson",805984.0,DOW_EAS1,Four-Seam,R,48,27,73.45912967875816,98.252688172043,0.2222222222222222,0.1851851851851851,0.5925925925925926,37.477636198440266,9.61021505376344,674,196,51.35765701270806,61.22311827956989,288,63,51.72485821273091,55.57795698924731,331,84,35.879271826620496,7.862903225806452,687,208,69.3300186268786,95.37869062901156,72.22039636319428,99.47089947089948,8,1,1,3.4067657637095152,RHH,Balanced Weapon,17.0341461682243,14.240285607476636,92.4652793457944,2162.7614570093456,5.590913457943926,6.146667102803739,1.9688526168224296,22.661290322580644,4.435483870967742,Arm-Side Run Power,2
"Lawson, Nathan",1000569348.0,FLO_Y'A,Changeup,L,33,17,76.9618129360427,99.32795698924733,0.4117647058823529,0.0,0.5882352941176471,51.99626363898104,60.88709677419355,292,71,52.42503790735356,65.12096774193549,259,34,75.73469884750602,99.26075268817203,7,2,36.22731237889627,8.53494623655914,682,111,60.568923479631046,86.26444159178433,72.04394609911921,99.39531368102796,9,1,1,,,,7.961830784313726,10.808374705882354,79.7723056862745,1437.565349019608,5.783678235294117,5.586570588235294,1.6163258823529412,60.40322580645161,67.33870967741935,Soft-Speed Separation,0
"Morgan, Cooper",692707.0,QUE_CAP,Curveball,L,44,15,80.0,99.86559139784946,0.3333333333333333,0.2,0.4666666666666667,45.98855573255037,37.43279569892473,468,61,67.25718492253162,92.74193548387096,54,16,49.80407096194889,46.90860215053764,401,43,45.937643787390535,35.215053763440864,483,60,53.33351576540399,66.81643132220796,72.0000547296212,99.31972789115646,10,2,1,,,,-1.0346180392156863,16.78828568627451,75.57898745098039,2657.0229784313724,5.260418823529412,4.807649215686275,-4.26667705882353,78.06451612903226,96.7741935483871,Tight High-Spin Breakers,3
