cluster,pitch_count,pitch_instances,avg_pitch_value,median_pitch_value,avg_xwoba,ivb,hb,spin_rate,velocity,extension,top_pitch_types,archetype,cluster_rank
1,56436,401,52.358532821637496,52.00364833268684,0.23675550665283054,0.490838613906783,-3.3834155861415534,2259.1097035541325,79.89316862972106,5.502164590920095,"Slider, Curveball, Changeup",Tight High-Spin Breakers,1
0,109642,601,48.385092148167764,48.22441083764463,0.24418926010364816,12.775727939427222,6.051750500622968,2088.1602430361713,88.06395104778004,5.971653501511568,"Four-Seam, Sinker, Changeup",Soft-Speed Separation,2
