dependent,model,formula,term,coefficient,robust_se,t_stat,p_value,p_stars,ci_lower,ci_upper,r_squared,adj_r_squared,aic,bic,sample_size,sample
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,Intercept,1.1753244859821144,0.15144498874681434,7.760735404371955,2.1238041766324852e-14,***,0.8781292101853563,1.4725197617788726,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,movement_quality_20_80,0.0006252142221878363,0.00027981417383921665,2.2343908230577667,0.02568311308587736,*,7.610757129023578e-05,0.0011743208730854368,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,location_score_20_80,-8.744189709935206e-05,0.0003155714355987749,-0.2770906591511907,0.7817691682687943,,-0.0007067185110858918,0.0005318347168871878,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,pitch_count,0.00039877249707182417,0.0002811236991184814,1.4184947705307438,0.15636559089181368,,-0.0001529039630334257,0.000950448957177074,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,batted_ball_count,0.0004899559244072163,0.0001942789582044771,2.5219196609626735,0.011829800914335952,*,0.00010870337162969195,0.0008712084771847406,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,pitch_type_Curveball,0.01112849110564863,0.010069343667758718,1.1051853499926934,0.2693516478025293,,-0.008631564299253904,0.030888546510551163,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,pitch_type_Cutter,-0.004922301738668848,0.013091303063117246,-0.37599784490030513,0.7070002095126334,,-0.03061264287558491,0.02076803939824721,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,pitch_type_Four-Seam,0.02210373220796609,0.013713744306183587,1.6117941033798786,0.10733005424403341,,-0.004808086103144482,0.04901555051907666,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,pitch_type_Sinker,0.03659253905108688,0.013806204407306646,2.650441639971739,0.0081687596262765,**,0.009499277263497845,0.06368580083867591,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,pitch_type_Slider,-0.01143711819412806,0.007859607191586336,-1.4551768193162922,0.14594186172110973,,-0.026860792138617157,0.0039865557503610365,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,pitch_type_Splitter,-0.025401599475664463,0.021702227082752084,-1.1704604960037703,0.24210141232394278,,-0.06798999686427104,0.017186797912942108,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS pitch_count,xwoba_frontier ~ weighted full model,batter_side_R,0.0007814112985085131,0.003795431782502091,0.2058820559260263,0.8369259779439645,,-0.006666734755728079,0.008229557352745106,0.5242287988179888,0.5188666233948309,-1586.1841500239418,-1527.4359576509673,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,Intercept,0.7579391287581141,0.06648707520077707,11.399796523900267,2.3788404371095094e-28,***,0.627465054873445,0.8884132026427832,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,movement_quality_20_80,0.00098903271914558,0.00019218851305725904,5.146159379727944,3.2139609587596243e-07,***,0.0006118824508160681,0.001366182987475092,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,location_score_20_80,-8.306842039792689e-05,0.00020705871019632372,-0.4011829317354733,0.6883732619746045,,-0.0004893999272515128,0.0003232630864556591,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,pitch_count,-0.000217682083317027,0.00013601741078956867,-1.6003986699452837,0.10983378673145713,,-0.0004846023178343089,4.923815120025493e-05,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,batted_ball_count,0.0013996102687785653,0.00027253240188370256,5.1355738220654565,3.395193804567569e-07,***,0.0008647933493703709,0.0019344271881867596,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,pitch_type_Curveball,0.00476903175109546,0.012461169210167815,0.3827114190219102,0.7020170756956066,,-0.019684736252791664,0.029222799754982584,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,pitch_type_Cutter,0.002847238962135649,0.012634517290391275,0.22535399625445238,0.821751073106249,,-0.02194670689073252,0.02764118481500382,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,pitch_type_Four-Seam,0.034920064875384044,0.010656590334048598,3.2768515801730542,0.001086722245708361,**,0.014007598047740266,0.05583253170302782,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,pitch_type_Sinker,0.05390971465212029,0.010874252202954161,4.957556036586578,8.414253981140241e-07,***,0.032570108704885234,0.07524932059935535,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,pitch_type_Slider,-0.01588463185585881,0.009455178051445743,-1.6799928853195918,0.09327871725203815,+,-0.034439450156282636,0.0026701864445650182,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,pitch_type_Splitter,-0.039447830050428345,0.03018476753006923,-1.3068787099695736,0.19156173997194778,,-0.09868234408216883,0.019786683981312142,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,WLS batted_ball_count,xwoba_frontier ~ weighted full model,batter_side_R,0.0025262113895915686,0.004077874383299368,0.6194922040603996,0.5357367393574645,,-0.005476199334181447,0.010528622113364583,0.6156963619602127,0.6113650709577151,-2089.876367172014,-2031.1281747990395,988,
xwoba_frontier,Standardized OLS,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),Intercept,0.12740377419042465,0.09043043087496351,1.4088595283437662,0.15919520724529554,,-0.050056682353534665,0.30486423073438396,0.0962370724243643,0.0860512197570159,-75.97394282520685,-17.225750452232433,988,All
xwoba_frontier,Standardized OLS,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),movement_quality_20_80,-0.09802654999653564,0.06043789244457112,-1.621938589047225,0.10513946340594917,,-0.21662972242416706,0.020576622431095773,0.0962370724243643,0.0860512197570159,-75.97394282520685,-17.225750452232433,988,All
xwoba_frontier,Standardized OLS,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),location_score_20_80,-0.20778993393916792,0.03300730320857589,-6.295271462382918,4.630414962871059e-10,***,-0.27256338508834815,-0.1430164827899877,0.0962370724243643,0.0860512197570159,-75.97394282520685,-17.225750452232433,988,All
xwoba_frontier,Standardized OLS,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),pitch_count,-0.18331126761724031,0.04912596955025206,-3.731453430750656,0.0002013666517427187,***,-0.2797159502025359,-0.0869065850319447,0.0962370724243643,0.0860512197570159,-75.97394282520685,-17.225750452232433,988,All
xwoba_frontier,Standardized OLS,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),batted_ball_count,0.20283200123642786,0.0528662877870177,3.836698389975417,0.00013271174203952386,***,0.09908732728435557,0.3065766751885002,0.0962370724243643,0.0860512197570159,-75.97394282520685,-17.225750452232433,988,All
xwoba_frontier,Standardized OLS,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),pitch_type_Curveball,0.2667430638634742,0.16323484060860743,1.6341061924583318,0.10255904549034016,,-0.05358858841336883,0.5870747161403171,0.0962370724243643,0.0860512197570159,-75.97394282520685,-17.225750452232433,988,All
