dependent,model,formula,term,coefficient,robust_se,t_stat,p_value,p_stars,ci_lower,ci_upper,r_squared,adj_r_squared,aic,bic,sample_size
xwoba_frontier,Model 1,xwoba_frontier ~ movement_quality_20_80,Intercept,0.2538363115221211,0.0057604969016497795,44.06500269958023,2.990677435212897e-235,***,0.24253206882848807,0.2651405542157541,0.004373088682935511,0.0033633250811940796,-5595.481143095838,-5585.689777700342,988
xwoba_frontier,Model 1,xwoba_frontier ~ movement_quality_20_80,movement_quality_20_80,-0.0002252931557319155,0.00011289733234113734,-1.9955578317046165,0.046256838727952054,*,-0.0004468398149936292,-3.7464964702018104e-06,0.004373088682935511,0.0033633250811940796,-5595.481143095838,-5585.689777700342,988
xwoba_frontier,Model 2,xwoba_frontier ~ location_score_20_80,Intercept,0.3129542384315852,0.009483823555036635,32.998741131722404,1.7557622228981167e-161,***,0.2943434406201978,0.3315650362429726,0.05607698902804514,0.055119663459108015,-5648.169200903502,-5638.377835508007,988
xwoba_frontier,Model 2,xwoba_frontier ~ location_score_20_80,location_score_20_80,-0.00141406668131623,0.00018689610997725477,-7.566057321836831,8.805810045089394e-14,***,-0.001780826532375909,-0.001047306830256551,0.05607698902804514,0.055119663459108015,-5648.169200903502,-5638.377835508007,988
xwoba_frontier,Model 3,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80,Intercept,0.32384416380027,0.010665121692953113,30.364788431270053,1.798009947658696e-143,***,0.3029151924876148,0.3447731351129252,0.060354296492495574,0.05844638643461231,-5650.656413933271,-5635.969365840027,988
xwoba_frontier,Model 3,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80,movement_quality_20_80,-0.00022281331804558665,0.00010802990729680881,-2.062515127717494,0.0394204585216467,*,-0.00043480853908630084,-1.0818097004872427e-05,0.060354296492495574,0.05844638643461231,-5650.656413933271,-5635.969365840027,988
xwoba_frontier,Model 3,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80,location_score_20_80,-0.0014128652165233205,0.00018751550169149298,-7.534658221738997,1.1068713563945861e-13,***,-0.0017808410041950623,-0.0010448894288515786,0.060354296492495574,0.05844638643461231,-5650.656413933271,-5635.969365840027,988
xwoba_frontier,Model 4,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type) + C(batter_side),Intercept,0.32942257259431684,0.016175865955047813,20.36506567931331,3.913277300301093e-77,***,0.2976791733759907,0.361165971812643,0.08494003455402743,0.07651923732599697,-5662.851548324548,-5613.894721347069,988
xwoba_frontier,Model 4,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type) + C(batter_side),movement_quality_20_80,-0.0003057011703217076,0.00020599652637192943,-1.4840112874998685,0.13812812636185876,,-0.0007099472238179688,9.854488317455361e-05,0.08494003455402743,0.07651923732599697,-5662.851548324548,-5613.894721347069,988
xwoba_frontier,Model 4,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type) + C(batter_side),location_score_20_80,-0.0013408807730997709,0.00019514350284567452,-6.8712550176993625,1.1315058891014759e-11,***,-0.0017238289338292905,-0.0009579326123702513,0.08494003455402743,0.07651923732599697,-5662.851548324548,-5613.894721347069,988
